,SiteEnergyUseWN(kBtu),TotalGHGEmissions,log-SiteEnergyUseWN(kBtu),log-TotalGHGEmissions
3899,2538161.5,41.15,14.746950951999592,3.7412346844478646
3900,808335.3125,5.31,13.60273347924583,1.8421356765531218
3901,1822360.5,75.13,14.41564374546419,4.332442405318121
3902,1465452.125,58.85,14.197675052951112,4.091841432003982
3903,1623081.125,68.8,14.299837445955925,4.2456340097683265
3904,1528661.5,63.14,14.23990372804129,4.161068194265009
3905,1428673.75,9.36,14.17225782428768,2.337952236831337
3906,645675.6875,4.27,13.378054173734816,1.6620303625532709
3907,1312808.125,8.42,14.087679769526062,2.2428350885882717
3908,4799367.0,184.51,15.383994800542636,5.223108788950282
3909,997765.375,41.13,13.81327443470314,3.7407600759909254
3910,1661975.875,10.92,14.323518340341645,2.4782176616372036
3911,1293593.0,8.57,14.072934949015353,2.258633205464863
3912,727886.375,4.74,13.497901610540492,1.747459210331475
3913,928743.5,6.15,13.741588953058482,1.9671123567059163
3914,860330.5,5.53,13.665073059073377,1.8764069432883397
3915,2155060.0,14.35,14.583329587383872,2.731115474033206
3916,1173175.75,33.8,13.975225798296155,3.5496173867804286
3917,4180752.5,28.19,15.246002051413383,3.3738261848660236
3918,570029.6875,10.43,13.253445476080833,2.4362414778067194
3919,1648163.875,60.5,14.315173029957045,4.119037174812473
3920,1481243.75,9.68,14.2083933395555,2.3683728335320486
3921,4419299.5,27.69,15.301491983611223,3.3565486299932736
3922,1423024.125,52.79,14.168295533275922,3.985087576285151
3923,2398376.5,59.24,14.690303025032296,4.098336583491638
3924,600720.6875,10.17,13.305887023898865,2.413231613081109
3925,1761932.5,11.17,14.381922343562866,2.498973906999436
3926,1994967.75,13.91,14.506138944023016,2.702032128776647
3927,2974883.75,44.19,14.905715856715675,3.810875823423188
3928,1117852.25,7.21,13.926920662900999,2.105352923464337
3929,1180853.75,7.83,13.981749098623354,2.178155014615869
3930,2039108.875,44.97,14.528023934813927,3.8279890098181366
3931,5333731.0,25.11,15.489561738742303,3.2623183827110376
3932,1045964.625,26.73,13.860451059778276,3.322514859627687
3933,456483.0938,13.12,13.03130913459849,2.647592232065096
3934,1508004.5,54.67,14.226298474758241,4.019441402195416
3935,175114.5,1.15,12.073201035201436,0.7654678421395714
3936,818074.6875,5.46,13.61471013881059,1.8656293177945105
3937,13535222.0,88.58,16.42080595669829,4.495132080779154
3938,2842819.5,55.86,14.860307251109102,4.040592106222854
3939,4270405.5,80.06,15.267219579736896,4.395189621200163
3940,3874552.5,88.1,15.169940988324129,4.489759334476764
3941,1458046.0,60.57,14.192608426970818,4.120174738923119
3942,746543.625,24.76,13.523210673143211,3.248822901236153
3943,778795.625,4.98,13.565505218880652,1.7884205679625405
3944,557887.875,14.36,13.231915072785183,2.731766727719526
3945,943994.0,18.95,13.757876148503442,2.9932291433358724
3946,866126.375,6.04,13.671787261024349,1.951608170169951
3947,1672465.625,18.87,14.329810115628463,2.9892110565637253
3948,3101727.0,79.53,14.947469933509753,4.388629785807454
